image_id,image_path,fitzpatrick_label
ISIC_0149568,data/raw/isic2020/train/ISIC_0149568.jpg,
ISIC_0188432,data/raw/isic2020/train/ISIC_0188432.jpg,
ISIC_0207268,data/raw/isic2020/train/ISIC_0207268.jpg,
ISIC_0232101,data/raw/isic2020/train/ISIC_0232101.jpg,
ISIC_0247330,data/raw/isic2020/train/ISIC_0247330.jpg,
ISIC_0250839,data/raw/isic2020/train/ISIC_0250839.jpg,
ISIC_0272509,data/raw/isic2020/train/ISIC_0272509.jpg,
ISIC_0273046,data/raw/isic2020/train/ISIC_0273046.jpg,
ISIC_0274382,data/raw/isic2020/train/ISIC_0274382.jpg,
ISIC_0275828,data/raw/isic2020/train/ISIC_0275828.jpg,
ISIC_0280912,data/raw/isic2020/train/ISIC_0280912.jpg,
ISIC_0286360,data/raw/isic2020/train/ISIC_0286360.jpg,
ISIC_0327406,data/raw/isic2020/train/ISIC_0327406.jpg,
ISIC_0333091,data/raw/isic2020/train/ISIC_0333091.jpg,
ISIC_0337631,data/raw/isic2020/train/ISIC_0337631.jpg,
ISIC_0351666,data/raw/isic2020/train/ISIC_0351666.jpg,
ISIC_0369831,data/raw/isic2020/train/ISIC_0369831.jpg,
ISIC_0489267,data/raw/isic2020/train/ISIC_0489267.jpg,
ISIC_0502582,data/raw/isic2020/train/ISIC_0502582.jpg,
ISIC_0504165,data/raw/isic2020/train/ISIC_0504165.jpg,
ISIC_0528044,data/raw/isic2020/train/ISIC_0528044.jpg,
ISIC_0533122,data/raw/isic2020/train/ISIC_0533122.jpg,
ISIC_0559335,data/raw/isic2020/train/ISIC_0559335.jpg,
ISIC_0572205,data/raw/isic2020/train/ISIC_0572205.jpg,
ISIC_0599605,data/raw/isic2020/train/ISIC_0599605.jpg,
ISIC_0624498,data/raw/isic2020/train/ISIC_0624498.jpg,
ISIC_0639769,data/raw/isic2020/train/ISIC_0639769.jpg,
ISIC_0645454,data/raw/isic2020/train/ISIC_0645454.jpg,
ISIC_0647224,data/raw/isic2020/train/ISIC_0647224.jpg,
ISIC_0662000,data/raw/isic2020/train/ISIC_0662000.jpg,
ISIC_0744013,data/raw/isic2020/train/ISIC_0744013.jpg,
ISIC_0779920,data/raw/isic2020/train/ISIC_0779920.jpg,
ISIC_0833889,data/raw/isic2020/train/ISIC_0833889.jpg,
ISIC_0844312,data/raw/isic2020/train/ISIC_0844312.jpg,
ISIC_0862745,data/raw/isic2020/train/ISIC_0862745.jpg,
ISIC_0911264,data/raw/isic2020/train/ISIC_0911264.jpg,
ISIC_0914168,data/raw/isic2020/train/ISIC_0914168.jpg,
ISIC_0924427,data/raw/isic2020/train/ISIC_0924427.jpg,
ISIC_0946787,data/raw/isic2020/train/ISIC_0946787.jpg,
ISIC_0952472,data/raw/isic2020/train/ISIC_0952472.jpg,
ISIC_0953317,data/raw/isic2020/train/ISIC_0953317.jpg,
ISIC_0961235,data/raw/isic2020/train/ISIC_0961235.jpg,
ISIC_0981639,data/raw/isic2020/train/ISIC_0981639.jpg,
ISIC_0986600,data/raw/isic2020/train/ISIC_0986600.jpg,
ISIC_1009042,data/raw/isic2020/train/ISIC_1009042.jpg,
ISIC_1037315,data/raw/isic2020/train/ISIC_1037315.jpg,
ISIC_1068686,data/raw/isic2020/train/ISIC_1068686.jpg,
ISIC_1071355,data/raw/isic2020/train/ISIC_1071355.jpg,
ISIC_1110583,data/raw/isic2020/train/ISIC_1110583.jpg,
ISIC_1113490,data/raw/isic2020/train/ISIC_1113490.jpg,
ISIC_1116483,data/raw/isic2020/train/ISIC_1116483.jpg,
ISIC_1124434,data/raw/isic2020/train/ISIC_1124434.jpg,
ISIC_1132496,data/raw/isic2020/train/ISIC_1132496.jpg,
ISIC_1157032,data/raw/isic2020/train/ISIC_1157032.jpg,
ISIC_1159891,data/raw/isic2020/train/ISIC_1159891.jpg,
ISIC_1162337,data/raw/isic2020/train/ISIC_1162337.jpg,
ISIC_1177153,data/raw/isic2020/train/ISIC_1177153.jpg,
ISIC_1177505,data/raw/isic2020/train/ISIC_1177505.jpg,
ISIC_1200192,data/raw/isic2020/train/ISIC_1200192.jpg,
ISIC_1210011,data/raw/isic2020/train/ISIC_1210011.jpg,
ISIC_1231419,data/raw/isic2020/train/ISIC_1231419.jpg,
ISIC_1241817,data/raw/isic2020/train/ISIC_1241817.jpg,
ISIC_1247683,data/raw/isic2020/train/ISIC_1247683.jpg,
ISIC_1255336,data/raw/isic2020/train/ISIC_1255336.jpg,
ISIC_1330008,data/raw/isic2020/train/ISIC_1330008.jpg,
ISIC_1356715,data/raw/isic2020/train/ISIC_1356715.jpg,
ISIC_1369967,data/raw/isic2020/train/ISIC_1369967.jpg,
ISIC_1375476,data/raw/isic2020/train/ISIC_1375476.jpg,
ISIC_1388552,data/raw/isic2020/train/ISIC_1388552.jpg,
ISIC_1393771,data/raw/isic2020/train/ISIC_1393771.jpg,
ISIC_1412843,data/raw/isic2020/train/ISIC_1412843.jpg,
ISIC_1440985,data/raw/isic2020/train/ISIC_1440985.jpg,
ISIC_1460932,data/raw/isic2020/train/ISIC_1460932.jpg,
ISIC_1473522,data/raw/isic2020/train/ISIC_1473522.jpg,
ISIC_1474461,data/raw/isic2020/train/ISIC_1474461.jpg,
ISIC_1484659,data/raw/isic2020/train/ISIC_1484659.jpg,
ISIC_1566428,data/raw/isic2020/train/ISIC_1566428.jpg,
ISIC_1569119,data/raw/isic2020/train/ISIC_1569119.jpg,
ISIC_1589997,data/raw/isic2020/train/ISIC_1589997.jpg,
ISIC_1605629,data/raw/isic2020/train/ISIC_1605629.jpg,
ISIC_1616031,data/raw/isic2020/train/ISIC_1616031.jpg,
ISIC_1620401,data/raw/isic2020/train/ISIC_1620401.jpg,
ISIC_1630301,data/raw/isic2020/train/ISIC_1630301.jpg,
ISIC_1654342,data/raw/isic2020/train/ISIC_1654342.jpg,
ISIC_1684127,data/raw/isic2020/train/ISIC_1684127.jpg,
ISIC_1698942,data/raw/isic2020/train/ISIC_1698942.jpg,
ISIC_1706912,data/raw/isic2020/train/ISIC_1706912.jpg,
ISIC_1728564,data/raw/isic2020/train/ISIC_1728564.jpg,
ISIC_1729223,data/raw/isic2020/train/ISIC_1729223.jpg,
ISIC_1752943,data/raw/isic2020/train/ISIC_1752943.jpg,
ISIC_1785627,data/raw/isic2020/train/ISIC_1785627.jpg,
ISIC_1797795,data/raw/isic2020/train/ISIC_1797795.jpg,
ISIC_1834920,data/raw/isic2020/train/ISIC_1834920.jpg,
ISIC_1866770,data/raw/isic2020/train/ISIC_1866770.jpg,
ISIC_1870415,data/raw/isic2020/train/ISIC_1870415.jpg,
ISIC_1881133,data/raw/isic2020/train/ISIC_1881133.jpg,
ISIC_1948545,data/raw/isic2020/train/ISIC_1948545.jpg,
ISIC_1952749,data/raw/isic2020/train/ISIC_1952749.jpg,
ISIC_1956504,data/raw/isic2020/train/ISIC_1956504.jpg,
ISIC_1959939,data/raw/isic2020/train/ISIC_1959939.jpg,
ISIC_1968421,data/raw/isic2020/train/ISIC_1968421.jpg,
ISIC_1975042,data/raw/isic2020/train/ISIC_1975042.jpg,
ISIC_2027582,data/raw/isic2020/train/ISIC_2027582.jpg,
ISIC_2033237,data/raw/isic2020/train/ISIC_2033237.jpg,
ISIC_2071966,data/raw/isic2020/train/ISIC_2071966.jpg,
ISIC_2072219,data/raw/isic2020/train/ISIC_2072219.jpg,
ISIC_2077116,data/raw/isic2020/train/ISIC_2077116.jpg,
ISIC_2101624,data/raw/isic2020/train/ISIC_2101624.jpg,
ISIC_2105563,data/raw/isic2020/train/ISIC_2105563.jpg,
ISIC_2141237,data/raw/isic2020/train/ISIC_2141237.jpg,
ISIC_2153401,data/raw/isic2020/train/ISIC_2153401.jpg,
ISIC_2153686,data/raw/isic2020/train/ISIC_2153686.jpg,
ISIC_2176112,data/raw/isic2020/train/ISIC_2176112.jpg,
ISIC_2182856,data/raw/isic2020/train/ISIC_2182856.jpg,
ISIC_2200197,data/raw/isic2020/train/ISIC_2200197.jpg,
ISIC_2212473,data/raw/isic2020/train/ISIC_2212473.jpg,
ISIC_2221217,data/raw/isic2020/train/ISIC_2221217.jpg,
ISIC_2232442,data/raw/isic2020/train/ISIC_2232442.jpg,
ISIC_2255411,data/raw/isic2020/train/ISIC_2255411.jpg,
ISIC_2268341,data/raw/isic2020/train/ISIC_2268341.jpg,
ISIC_2272218,data/raw/isic2020/train/ISIC_2272218.jpg,
